Date,open,high,low,close,volume,adjusted,rmrf,SMB,HML,RF
2022-06-30,162.1499939,165.2299957,158.4900055,161.25,35250600,160.9193268,-0.0843,0.021,-0.0601,6.00E-04
2022-07-29,157.6900024,160.1399994,155.1699982,159.1000061,42065400,158.7737427,0.0957,0.028,-0.0405,8.00E-04
2022-08-31,167.0700073,167.8399963,162.1399994,162.9299927,40953000,162.595871,-0.0377,0.014,0.0029,0.0019
2022-09-30,136.0500031,140.9900055,135.5,135.6799927,33166400,135.4017487,-0.0935,-0.0082,5.00E-04,0.0019
2022-10-31,98.22000122,99.31999969,92.59999847,93.16000366,121361400,92.96895599,0.0783,7.00E-04,0.0802,0.0023
2022-11-30,109.5100021,118.1600037,109.3799973,118.0999985,43348600,117.857811,0.046,-0.035,0.0138,0.0029
2022-12-30,118.1600037,120.4199982,117.7399979,120.3399963,19583800,120.0932159,-0.0641,-0.007,0.0136,0.0033
2023-01-31,147.9499969,149.8800049,147.5200043,148.9700012,29842100,148.664505,0.0665,0.05,-0.0402,0.0035
2023-02-28,171.8999939,177.5500031,171.8699951,174.9400024,46051100,174.5812531,-0.0258,0.0117,-0.008,0.0034
2023-03-31,207.2400055,212.1699982,206.7700043,211.9400024,25440300,211.5053711,0.0251,-0.0552,-0.0887,0.0036
2023-04-28,239.0099945,240.4299927,235.75,240.3200073,39554000,239.827179,0.0061,-0.0335,-5.00E-04,0.0035
2023-05-31,260,265,258.4500122,264.7200012,25473700,264.177124,0.0035,0.016,-0.0772,0.0036
2023-06-30,284.7600098,289.0499878,284.4200134,286.980011,19676000,286.39151,0.0646,0.0154,-0.0025,0.004
2023-07-31,323.6900024,325.6600037,317.5899963,318.6000061,25799600,317.9466553,0.0321,0.0207,0.0409,0.0045
2023-08-31,295.7999878,301.1000061,295.6600037,295.8900146,17229900,295.2832336,-0.0239,-0.0312,-0.0112,0.0045
2023-09-29,307.3800049,310.6400146,299.3599854,300.2099915,25356600,299.5943604,-0.0524,-0.0249,0.0151,0.0043
2023-10-31,303.3099976,303.6799927,296.8599854,301.269989,19434200,300.6521606,-0.0318,-0.0386,0.0017,0.0047
2023-11-30,331.8900146,333.5,322.3999939,327.1499939,23146400,326.4790955,0.0884,-1.00E-04,0.0161,0.0044
2023-12-29,358.9899902,360,351.8200073,353.9599915,14980500,353.2341309,0.0487,0.0634,0.0493,0.0043
2024-01-31,389,398,387.1000061,390.1400146,20180800,389.3399658,0.007,-0.051,-0.0233,0.0047
2024-02-29,488.4400024,491.7000122,482.6099854,490.1300049,17732000,489.6438599,0.0506,-0.0016,-0.0354,0.0042
2024-03-28,492.8399963,492.8900146,485.1499939,485.5799866,15212800,485.0983582,0.0283,-0.0246,0.0416,0.0043
2024-04-30,431.0499878,439.6199951,429.7200012,430.1700134,18429500,429.7433472,-0.0467,-0.0234,-0.0054,0.0047
2024-05-31,465.7999878,469.1199951,454.4599915,466.8299866,16919800,466.3669434,0.0434,0.0061,-0.0137,0.0044
2024-06-28,517.1500244,521.8800049,503.8399963,504.2200012,15855100,504.2200012,0.0278,-0.0302,-0.0331,0.0041
